Date,Open,High,Low,Close,Volume,temp,Date2,ang,ang2,data_x,data_x2,data_x3
20170206,15250,15800,15200,15650,95888,5.3,2004.11,,5.3,3,0,-5
20170203,15200,15450,15150,15250,97263,-1.4,2004.12,,-1.4,1,0,-3
20170202,15700,15700,15350,15350,62488,-6.2,2005.01,,-6.2,1,0,-1
20170201,15450,15850,15250,15600,113141,-5.5,2005.02,,-5.5,1,0,0
20170131,15150,15500,15150,15400,62063,0.2,2005.03,,0.2,1,0,0
20170126,15100,15300,15000,15250,75314,8.9,2005.04,,8.9,40,0,0
20170125,15500,15650,15000,15050,126878,13,2005.05,,13,28,0,0
20170124,15000,16100,14900,15500,203304,19.1,2005.06,,19.1,17,0,0
20170123,15600,15850,15100,15150,178832,22.7,2005.07,,22.7,16,0,0
20170120,15800,16150,15700,15700,144235,22.4,2005.08,,22.4,14,0,1
20170119,16600,16700,15900,16000,205420,18.6,2005.09,,18.6,13,0,2
20170118,16500,16750,16500,16600,55713,10.7,2005.1,,10.7,10,0,3
20170117,16500,16750,16500,16550,90402,4.6,2005.11,,4.6,9,0,4
20170116,17000,17000,16600,16650,124913,-7.4,2005.12,,-7.4,8.5,0,5
20170113,17050,17050,16800,17000,109412,-3.3,2006.01,,-3.3,8,0,7
20170112,16800,17150,16650,16950,205601,-4,2006.02,,-4,7,0,11
20170111,17150,17150,16700,16800,246203,0.9,2006.03,,0.9,6,0,13
20170110,17200,17350,17000,17100,128818,7.7,2006.04,,7.7,5,0,15
20170109,17400,17400,17200,17200,89443,14,2006.05,,14,4,0,19
20170106,17500,17500,17300,17350,110783,18.1,2006.06,,18.1,3,0,17
20170105,17450,17600,17300,17450,148807,20.9,2006.07,,20.9,2,0,15
20170104,17300,17550,17300,17400,119595,23.9,2006.08,,23.9,1,0,13
20170103,17350,17500,17250,17400,88118,16.9,2006.09,,16.9,0,0,11
20170102,17600,17650,17150,17300,142252,13.9,2006.1,,13.9,0,0,9
20161229,17750,17800,17500,17550,98053,4.5,2006.11,,4.5,0,0,7
20161228,17700,18000,17500,17800,144479,-2,2006.12,,-2,0,0,5
20161227,18000,18050,17600,17600,258837,-2.8,2007.01,,-2.8,0,0,3
20161226,18000,18150,17750,17900,185193,0.1,2007.02,,0.1,0,0,1
20161223,17350,18000,17350,17950,396098,2.3,2007.03,,2.3,0,0,0
20161222,18550,19450,18500,18550,836934,7.5,2007.04,,7.5,0,0,0
20161221,17900,18150,17600,18150,196360,13.6,2007.05,,13.6,0,0,0
20161220,18050,18100,17750,17850,130771,19.2,2007.06,,19.2,0,0,0
20161219,18000,18100,17550,18050,224768,21.3,2007.07,,21.3,40,0,-1
20161216,17700,18500,17350,18150,369032,23.8,2007.08,,23.8,30,0,-2
20161215,17650,17900,17600,17700,109381,18.6,2007.09,,18.6,20,0,-3
20161214,17600,18000,17400,17900,264027,11.3,2007.1,,11.3,15,0,-4
20161213,17400,17550,17250,17550,146316,2.8,2007.11,,2.8,10,0,-7
20161212,17650,17650,17300,17400,206694,-1.4,2007.12,,-1.4,7,0,-10
20161209,18000,18150,17500,17550,283270,-5,2008.01,,-5,6,0,-13
20161208,17750,18150,17650,17750,133933,-4.9,2008.02,,-4.9,5,0,-14
20161207,17600,18200,17500,17700,176428,3.7,2008.03,,3.7,4,0,-17
20161206,17300,17950,17150,17750,225728,9.3,2008.04,,9.3,3,0,-20
20161205,17250,17550,17050,17250,103511,13.1,2008.05,,13.1,2,0,-19
20161202,17150,17300,17100,17200,69959,17.6,2008.06,,17.6,1,0,-18
20161201,17300,17350,17050,17250,95283,22.6,2008.07,,22.6,0,0,-17
20161130,17400,17400,17000,17200,129770,21.8,2008.08,,21.8,-1,0,-16
20161129,17550,17600,17200,17400,121423,18,2008.09,,18,-2,0,-15
20161128,17600,17800,17550,17550,106250,12.1,2008.1,,12.1,-3,0,-14
20161125,17500,17550,17300,17550,88602,3.8,2008.11,,3.8,-4,0,-13
20161124,17200,17600,17100,17300,168291,-2.7,2008.12,,-2.7,-5,0,-12
20161123,17350,17650,17200,17300,184069,-5.5,2009.01,,-5.5,-9,0,-11
20161122,17700,17800,17300,17350,246132,-0.6,2009.02,,-0.6,-9,0,-10
20161121,18000,18400,17550,17650,234665,1.8,2009.03,,1.8,-9,0,-9
20161118,18300,18300,17650,17950,295062,8.1,2009.04,,8.1,-9,0,-8
20161117,18500,18600,18100,18300,180496,14.6,2009.05,,14.6,-9,0,-7
20161116,18400,18650,18150,18600,142673,18.8,2009.06,,18.8,-25,0,-6
20161115,18950,19000,18250,18300,205878,21,2009.07,,21,-20,0,-5
20161114,18550,19000,18350,18700,161549,22.4,2009.08,,22.4,-9,0,-4
20161111,18750,18850,18300,18550,235909,17.7,2009.09,,17.7,-9,0,-3
20161110,18750,19050,18600,18850,301678,11.7,2009.1,,11.7,-9,0,-2
20161109,19400,19400,17500,18200,931641,3.7,2009.11,,3.7,-9,0,-1
20161108,19900,20250,19250,19250,361172,-4.2,2009.12,,-4.2,-9,0,0
20161107,19500,19900,19450,19800,254832,-8.1,2010.01,,-8.1,-9,0,0
20161104,19400,19650,18900,19400,343835,-1.7,2010.02,,-1.7,20,0,0
20161103,19950,20250,19550,19600,330760,0.5,2010.03,,0.5,-12,0,0
20161102,19400,20200,18750,19750,764705,5.6,2010.04,,5.6,-9,0,0
20161101,19200,20450,19150,19300,778087,13,2010.05,,13,-7,0,0
20161031,20450,20650,19000,19250,973464,19.3,2010.06,,19.3,-6,0,2
20161028,21350,21550,20750,20800,591301,23.1,2010.07,,23.1,-3,0,3
20161027,20900,21400,20150,21300,1169482,23.8,2010.08,,23.8,-3,0,7
20161026,20850,21400,20050,21150,2070322,18.5,2010.09,,18.5,-3,0,10
20161025,18550,22000,18200,20250,3237757,10.4,2010.1,,10.4,10,0,12
20161024,18750,19500,17950,18450,832735,2.5,2010.11,,2.5,9,0,13
20161021,17900,19150,17850,18650,1048584,-5.1,2010.12,,-5.1,8,0,15
20161020,17500,17950,17400,17800,283108,-10.5,2011.01,,-10.5,7,0,17
20161019,17400,17600,17200,17350,106904,-2.5,2011.02,,-2.5,6,0,20
20161018,17400,17400,17150,17350,93359,-0.1,2011.03,,-0.1,4,0,19
20161017,17250,17550,17200,17400,82340,6.8,2011.04,,6.8,2,0,18
20161014,17550,17700,17100,17200,140239,13.6,2011.05,,13.6,1,0,17
20161013,17600,17950,17550,17600,105682,18.4,2011.06,,18.4,0,0,16
20161012,17600,18100,17500,17700,228494,22,2011.07,,22,-1,0,15
20161011,17250,18100,17100,17650,273928,23,2011.08,,23,-1,0,14
20161010,17250,17300,17000,17100,112913,17.7,2011.09,,17.7,-1,0,13
20161007,17350,17650,17150,17200,107632,9.7,2011.1,,9.7,-15,0,12
20161006,17350,17700,17300,17350,101463,7.2,2011.11,,7.2,-12,0,11
20161005,17250,17450,17200,17350,72462,-4.1,2011.12,,-4.1,-10,0,10
20161004,17250,17550,17100,17350,122001,-6.3,2012.01,,-6.3,-9,0,9
20160930,17700,17800,17300,17300,226121,-6,2012.02,,-6,-8,0,8
20160929,17750,18050,17750,17850,102239,1.5,2012.03,,1.5,-7,0,7
20160928,18000,18300,17900,17950,189295,7.8,2012.04,,7.8,-6,0,6
20160927,17550,18050,17400,17950,216719,15.4,2012.05,,15.4,-5,0,5
20160926,18300,18450,17400,17700,305268,20,2012.06,,20,-4,0,4
20160923,18550,18550,18050,18300,279201,22.4,2012.07,,22.4,-3,0,3
20160922,17500,18750,17450,18450,1072164,23.9,2012.08,,23.9,-2,0,2
20160921,17250,17350,16900,17150,154649,17.4,2012.09,,17.4,-2,0,1
20160920,17100,17500,17000,17200,140697,11,2012.1,,11,-2,0,0
